path,bytes,modified_utc,proposal,snapshot,sha256
Consultry APP UI Mockups/_ds/consultry-app-design-system-updated-b50f67e2-2578-4583-b24b-69ffec635271/_adherence.oxlintrc.json,90313,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/_ds/consultry-app-design-system-updated-b50f67e2-2578-4583-b24b-69ffec635271/_ds_bundle.js,2141200,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/_ds/consultry-app-design-system-updated-b50f67e2-2578-4583-b24b-69ffec635271/_ds_manifest.json,64298,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/_ds/consultry-app-design-system-updated-b50f67e2-2578-4583-b24b-69ffec635271/readme.md,18596,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/_ds/consultry-app-design-system-updated-b50f67e2-2578-4583-b24b-69ffec635271/styles.css,157,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/_ds/consultry-app-design-system-updated-b50f67e2-2578-4583-b24b-69ffec635271/fonts/Faktum-Light.woff,39660,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/_ds/consultry-app-design-system-updated-b50f67e2-2578-4583-b24b-69ffec635271/fonts/Faktum-Medium.woff,39756,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/_ds/consultry-app-design-system-updated-b50f67e2-2578-4583-b24b-69ffec635271/fonts/Inter-VariableFont.woff,455456,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/_ds/consultry-app-design-system-updated-b50f67e2-2578-4583-b24b-69ffec635271/fonts/icomoon.woff2,4080,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/_ds/consultry-app-design-system-updated-b50f67e2-2578-4583-b24b-69ffec635271/tokens/dark.css,4405,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/_ds/consultry-app-design-system-updated-b50f67e2-2578-4583-b24b-69ffec635271/tokens/fig-tokens.css,11854,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/_ds/consultry-app-design-system-updated-b50f67e2-2578-4583-b24b-69ffec635271/tokens/fonts.css,611,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/_ds/consultry-app-design-system-updated-b50f67e2-2578-4583-b24b-69ffec635271/tokens/glass.css,1504,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/_ds/consultry-app-design-system-updated-b50f67e2-2578-4583-b24b-69ffec635271/tokens/semantic.css,339,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/assets/consultry-logo-light.svg,33520,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/assets/consultry-logo.svg,27250,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/assets/consultry-mark.svg,8607,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/CONTEXT.md,19443,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/Consultry-Canonical-User-Journey-Portfolio-v0.1-7c06ea02.md,13194,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/Consultry-Canonical-User-Journey-Portfolio-v0.1.md,11545,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/Consultry-MVP-Foundation-Decisions-v1.0.md,20857,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/Consultry-MVP-Virtual-Harness-Second-Brain-Refinement-v1.0.md,43109,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/Consultry-Mock-UI-Claude-Design-Handover-v0.1.md,39125,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/Consultry-Onboarding-Corpus-Ritual-v1.0.md,7840,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/Consultry-Platform-Kernel-Data-Model-Concept-v0.1.md,144942,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/Consultry-Product-Vision-v1.0.md,40516,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/Consultry-Systemic-MVP-Mock-UI-Claude-Design-Handover-v0.2.md,44761,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/Consultry-Systemic-Platform-Click-Dummy-Scope-and-WBS-Delta-v0.2.md,21249,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/Consultry-Three-Slice-Mock-UI-Demo-Flow-v0.1-5bc6e4bc.md,23347,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/Consultry-Three-Slice-Mock-UI-Demo-Flow-v0.1.md,23347,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/Consultry-Three-Slice-Mock-UI-Implementation-Handover-v0.1.md,41979,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/Consultry-UX-Operating-Model-v0.1-d2b28076.md,36028,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/Consultry-UX-Operating-Model-v0.1.md,35121,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/README.md,7122,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/_CONTEXT-AND-MEMORY-f2fc1a6a.md,55612,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/_CONTEXT-AND-MEMORY.md,53148,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/consultry-mark.svg,8607,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/draw-828a6bf1-bb94-4021-a504-82828d71d23e.png,117531,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/draw-8eabe9e0-97a2-4335-95cb-f34013c8d071.png,76008,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/pasted-1786059824281-0.png,1646648,2026-08-10T15:20:00+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/pasted-1786060151168-0.png,1646648,2026-08-10T15:20:00+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785980648676-a4pz9l.webp,17234,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785980648678-3j1kmv.webp,20808,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785980648678-8pvtzw.webp,22032,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785980648678-9ttmve.webp,14618,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785980648678-h58bzv.webp,26312,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785980648678-k1ijz8.webp,29380,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785980648678-tv6fzz.webp,14098,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785980648679-ih27jo.webp,13848,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785981257040-wxkt5p.webp,28828,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785981257042-fr39x7.webp,46242,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785981257043-7bbmwo.webp,23442,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785981257043-twkbot.webp,47900,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785981275071-pdtz43.webp,29948,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785981275072-8ud6h9.webp,47266,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785981275073-bngudv.webp,41218,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785981275073-u4l1so.webp,35508,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785981288175-4f4q5r.webp,9696,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785981288176-0ar002.webp,23262,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785981288176-hs25bk.webp,22926,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785981288176-vsc2fm.webp,16018,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785982585061-0f0amm.webp,21216,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785982585062-eqkmti.webp,25388,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785982585063-778np6.webp,21120,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785982585063-ba6atl.webp,23266,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785982585063-eiqkz3.webp,20766,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785984059100-3knabk.webp,17994,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785984059103-hy498w.webp,46114,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785984059104-170z2n.webp,21082,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/uploads/mcp/mcp-1785984059104-jfcunv.webp,39024,2026-08-10T15:19:56+00:00,medien_und_prototypen_geparkt_archivkandidat,,
