subset,dataset,benchmark_profile,approx_isl,output_len,concurrency,num_prompts,successful_requests,failed_requests,success_rate,duration_s,request_throughput_rps,input_tps,output_tps,total_tps,peak_output_tps,peak_concurrent_requests,avg_input_tokens_per_request,avg_output_tokens_per_request,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,e2el_p50_ms,e2el_p95_ms,e2el_p99_ms,source_json
throughput_16k,speed_bench,long_context_raw_v1_qwen36_35b_a3b_fp8_kvfp8,16384,512,10,100,100,0,1.0,65.33,1.531,25706.2,783.8,26490.0,620.0,14.0,16792.6,512.0,813.2,622.5,1971.0,3277.3,11.06,11.17,12.95,13.79,16.26,123.86,139.98,6376.9,7713.7,8993.2,/home/jules/bench-long-context-kvfp8/results/speed_throughput_16k_c10.json
throughput_16k,speed_bench,long_context_raw_v1_qwen36_35b_a3b_fp8_kvfp8,16384,512,12,120,120,0,1.0,50.4,2.381,40042.6,1219.0,41261.6,708.0,20.0,16818.8,512.0,383.2,265.8,1106.9,1294.6,9.01,8.37,13.26,14.11,17.44,100.95,132.23,4690.5,7173.1,8201.4,/home/jules/bench-long-context-kvfp8/results/speed_throughput_16k_c12.json
throughput_16k,speed_bench,long_context_raw_v1_qwen36_35b_a3b_fp8_kvfp8,16384,512,14,140,140,0,1.0,55.55,2.52,42460.2,1290.4,43750.7,756.0,22.0,16846.6,512.0,376.7,262.3,1155.2,1421.7,9.91,9.3,14.71,15.87,18.69,102.58,132.52,5118.6,7800.3,8657.8,/home/jules/bench-long-context-kvfp8/results/speed_throughput_16k_c14.json
throughput_16k,speed_bench,long_context_raw_v1_qwen36_35b_a3b_fp8_kvfp8,16384,512,16,160,160,0,1.0,55.71,2.872,48412.4,1470.5,49882.9,912.0,23.0,16856.2,512.0,388.8,262.7,1227.7,1500.6,9.95,9.45,14.99,16.53,18.17,103.55,133.87,5156.7,8261.3,8821.7,/home/jules/bench-long-context-kvfp8/results/speed_throughput_16k_c16.json
throughput_16k,speed_bench,long_context_raw_v1_qwen36_35b_a3b_fp8_kvfp8,16384,512,18,180,180,0,1.0,61.43,2.93,49428.4,1500.3,50928.7,882.0,28.0,16867.6,512.0,396.4,268.9,1299.2,1573.4,11.06,10.7,16.42,17.5,20.84,104.18,134.75,5810.6,8863.6,9288.2,/home/jules/bench-long-context-kvfp8/results/speed_throughput_16k_c18.json
throughput_16k,speed_bench,long_context_raw_v1_qwen36_35b_a3b_fp8_kvfp8,16384,512,20,200,200,0,1.0,105.16,1.902,32141.6,973.8,33115.3,986.0,25.0,16900.1,512.0,1053.9,708.7,3777.2,6448.3,18.27,18.7,21.49,22.77,21.99,135.32,148.13,10313.6,12954.0,16216.4,/home/jules/bench-long-context-kvfp8/results/speed_throughput_16k_c20.json
throughput_16k,speed_bench,long_context_raw_v1_qwen36_35b_a3b_fp8_kvfp8,16384,512,22,220,220,0,1.0,109.64,2.007,33887.3,1027.4,34914.6,1100.0,29.0,16888.2,512.0,1169.2,760.3,4245.6,7150.6,18.98,19.18,23.48,24.5,20.77,136.69,148.74,10697.5,13940.6,17163.4,/home/jules/bench-long-context-kvfp8/results/speed_throughput_16k_c22.json
throughput_16k,speed_bench,long_context_raw_v1_qwen36_35b_a3b_fp8_kvfp8,16384,512,24,240,142,98,0.5917,78.47,1.81,30485.9,926.6,31412.4,1056.0,30.0,16846.0,512.0,1599.5,815.3,6287.9,8205.9,21.26,21.31,24.74,26.29,23.24,139.74,148.97,11985.7,16151.7,18797.6,/home/jules/bench-long-context-kvfp8/results/speed_throughput_16k_c24.json
